ID_TRX;Fecha;ID_Cliente;Monto
40385;11/2/2022;2166898019;60
548;12/2/2022;3704576010;72
3845;12/2/2022;1415340023;70,42
3971;12/2/2022;1288334012;83,02
4729;12/2/2022;1072860014;40
5144;12/2/2022;7099715018;40
5807;12/2/2022;2344755024;80
10053;12/2/2022;7221105013;40
10780;12/2/2022;20121024;50
13693;12/2/2022;2323813018;53
13947;12/2/2022;1314512029;10
19121;12/2/2022;1363641026;50
19718;12/2/2022;68422029;40
21357;12/2/2022;14807018;69
23184;12/2/2022;60809025;40
24759;12/2/2022;3522989015;83,4
27720;12/2/2022;2332826019;87
28719;12/2/2022;1123244010;20
30561;12/2/2022;7047134015;55,61
31799;12/2/2022;9568170032;40
32139;12/2/2022;7210718016;56,01
33830;12/2/2022;2353839016;60,01
34634;12/2/2022;1111214017;10
37624;12/2/2022;7101388010;77
38203;12/2/2022;3106778032;60,6
38909;12/2/2022;2056325016;30
39304;12/2/2022;1176059026;40
39396;12/2/2022;1265407021;40
39626;12/2/2022;7047134015;62,4
40007;12/2/2022;1176877023;60
41197;12/2/2022;1177126022;50
41406;12/2/2022;2116213012;51,4
41429;12/2/2022;2344755024;40
42115;12/2/2022;2216936025;17,66
42283;12/2/2022;7055082015;56
43368;12/2/2022;3983945027;52,01
756;13/2/2022;1398523017;57,52
6478;13/2/2022;1370616045;50,01
9962;13/2/2022;1152040016;47
14433;13/2/2022;1421483015;42,36
17726;13/2/2022;59024016;50
18073;13/2/2022;1416444030;47,38
19060;13/2/2022;3977600034;73,9
24682;13/2/2022;47970015;56
28839;13/2/2022;7166896014;52,73
29493;13/2/2022;1398546018;46,7
33807;13/2/2022;1280554011;20
34645;13/2/2022;2216220016;90,6
36228;13/2/2022;1409442025;84,4
36386;13/2/2022;2358648016;30
2309;14/2/2022;7231150017;45,4
2355;14/2/2022;3618552024;25,9
3360;14/2/2022;1325873048;66,45
5237;14/2/2022;2151475013;40
6303;14/2/2022;74147016;30
10503;14/2/2022;1396205021;67,5
10661;14/2/2022;1263567016;50
12493;14/2/2022;1363641026;50
12659;14/2/2022;3560986014;51,85
13088;14/2/2022;1261493015;62,55
15393;14/2/2022;1203071010;40
17124;14/2/2022;1232248019;33,6
21326;14/2/2022;2323813018;64
22149;14/2/2022;1700752023;40
22489;14/2/2022;1437474016;40
22821;14/2/2022;3534826015;40
23515;14/2/2022;1072296029;58,75
24697;14/2/2022;7215335022;50
24738;14/2/2022;62351018;68,5
27257;14/2/2022;1354568014;60
28410;14/2/2022;1055485011;48,6
31565;14/2/2022;7206967015;59,15
35376;14/2/2022;2307048011;53,86
35873;14/2/2022;3220838027;54
37090;14/2/2022;1167561014;40
37444;14/2/2022;3228522037;68
38111;14/2/2022;2194211011;40
38206;14/2/2022;1450974017;50
39103;14/2/2022;7172057049;10
40459;14/2/2022;7203523019;64,75
1034;15/2/2022;41947019;30
1237;15/2/2022;2352915015;40
2049;15/2/2022;43727039;49,52
